timestamp,conv_id,input_text,bot_text
"2020-06-19, 10:17:30",3249860898460524,/start_conversation,"Chào Linh Khanh Chi, mình là trợ lý ảo của Shop Gấu & Bí Ngô!
Để hỗ trợ bạn nhanh nhất có thể, vui lòng mô tả ngắn gọn và rõ ràng sản phẩm muốn tìm kiếm nhé!"
"2020-06-19, 10:17:30",3249860898460524,Shop có địu k ạ,
"2020-06-19, 10:17:30",3249860898460524,"/confirm_attribute_value{""price"": ""100k - 500k""}",
"2020-06-19, 10:17:30",3249860898460524,"/confirm_attribute_value{""color"": ""NULL_1""}",
"2020-06-19, 10:17:30",3249860898460524,"/confirm_attribute_value{""brand"": ""NULL_1""}",
"2020-06-19, 10:17:30",3249860898460524,"/confirm_attribute_value{""age_of_use"": ""0-36 Tháng""}",
"2020-06-19, 10:17:30",3249860898460524,"/confirm_attribute_value{""size"": ""NULL_1""}",
"2020-06-19, 10:17:30",3249860898460524,"/confirm_attribute_value{""guarantee"": ""NULL_1""}","Dạ mời bạn tham khảo sản phẩm Địu giá 100k - 500k, độ tuổi sử dụng 0-36 Tháng hiện có tại shop nhé!"
"2020-06-19, 10:17:30",3249860898460524,,
"2020-06-19, 07:41:28",2767264773292852,/start_conversation,"Chào Hai Yen Nguyen, mình là trợ lý ảo của Shop Gấu & Bí Ngô!
Để hỗ trợ bạn nhanh nhất có thể, vui lòng mô tả ngắn gọn và rõ ràng sản phẩm muốn tìm kiếm nhé!"
"2020-06-19, 07:41:28",2767264773292852,Alo shop,"Chào bạn, mình là trợ lý ảo của Shop Gấu & Bí Ngô, mình giúp gì được bạn ạ?"
"2020-06-19, 07:41:28",2767264773292852,"https://scontent.xx.fbcdn.net/v/t1.15752-9/104297754_3266387966920288_3471589308599032146_n.jpg?_nc_cat=102&_nc_sid=b96e70&_nc_ohc=No6PWXzlxbAAX_ybrFV&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=2dc98ff5386254892f9276ef96cbb62c&oe=5F11AC6E
Shop m có xe lắc mẫu này k?",Dạ mời bạn tham khảo sản phẩm hiện có tại shop nhé!
"2020-06-19, 07:41:28",2767264773292852,Giá bao nh hả shop?,
"2020-06-19, 07:41:28",2767264773292852,"/confirm_object_type{""object_type"": ""xe_lac""}",
"2020-06-19, 07:41:28",2767264773292852,,"Sản phẩm  Xe Chòi Chân   có giá bán thấp nhất từ: *510,000 VND*, bạn vui lòng bấm vào sản phẩm để xem giá bán và thông tin chi tiết!"
"2020-06-19, 07:41:28",2767264773292852,,
"2020-06-19, 07:38:23",2179762168741499,Ghế ô tô joie stage có hàng k shop,
