sender_id,user_text,bot_text,response_time
2596384490479200,https://reviewtcm.com/wp-content/uploads/xe-day-vova.jpg có giá bao nhiêu?,"Sản phẩm  Xe Đẩy  hiện shop đang có giá: *8,590,000 VND (giá gốc 8,590,000 VND)*.
Bạn tham khảo các sản phẩm sau nhé ạ:",11.0
2596384490479200,https://reviewtcm.com/wp-content/uploads/xe-day-vova.jpg có giá bao nhiêu?,"Sản phẩm  Xe Đẩy  hiện shop đang có giá: *8,590,000 VND (giá gốc 8,590,000 VND)*.
Bạn tham khảo các sản phẩm sau nhé ạ:",11.0
2518758118198501,"Shop ơi bên mình còn xe chòi chân nt hình ảnh ko?
https://scontent.xx.fbcdn.net/v/t1.15752-9/104199784_185615922885463_2292578923557911617_n.jpg?_nc_cat=102&_nc_sid=b96e70&_nc_ohc=lOWAeSgR-YYAX9ozXkf&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=4c418edb689dedc7877d265e855477e6&oe=5F0F9D9A",Bạn vui lòng bấm vào sản phẩm để xem ảnh và thông tin chi tiết nhé!,16.0
2705623442806274,cái này bao nhiêu bạn?,"Sản phẩm  Ghế Ăn  hiện shop đang có giá: *450,000 VND (giá gốc 599,000 VND)*.
Bạn tham khảo các sản phẩm sau nhé ạ:",10.0
2820624228046991,https://scontent.xx.fbcdn.net/v/t1.15752-9/101784704_2153006441511637_4173048845534648478_n.png?_nc_cat=100&_nc_sid=b96e70&_nc_oc=AQl9HZVedAgy5KltXFVvLrPfrX_qlfbAfG17iFX0jzF5t3J7uIzNeuY98_ZqhhXS5PnGk1F8saKmNXatAeCPtQ-I&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=8fde8cc48c31c1eb0af9a154323471f5&oe=5F041EFC,"Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",23.0
3577119975705736,"https://scontent.xx.fbcdn.net/v/t1.15752-9/102678487_1356514954736551_4619510193924003843_n.jpg?_nc_cat=107&_nc_sid=b96e70&_nc_ohc=3u3ag_v0bVkAX87z9FM&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=4645794f324f6a59dd4efed1843bf881&oe=5F01FD74
Cả set này đó c","Sản phẩm  Bàn ghế đa năng Lego Holla chính hãng / Mẫu Gấu  hiện shop đang có mức giá: *890,000 VND (giá gốc 1,400,000 VND)*.
",17.0
4506969552662036,https://scontent.xx.fbcdn.net/v/t1.15752-9/101068651_343896426579181_5166309997356777472_n.png?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=sxSrG2Mj7LEAX_V0waJ&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=1f86a695071f093522e832593a27ae0c&oe=5EFE16E6,"Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",16.0
2943168532468545,"https://scontent.xx.fbcdn.net/v/t1.15752-9/96564789_281925776304547_6188056341681012736_n.jpg?_nc_cat=100&_nc_sid=b96e70&_nc_ohc=MRuSUYD4DaIAX_vXlsr&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=95fb4918f595e35b210600277d466e98&oe=5EFC9AAD
Shop có thảm này k ạ","Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",25.0
4334324123248285,M muốn lấy bộ giống tn,"Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",12.0
1401532916611367,"https://scontent.xx.fbcdn.net/v/t1.15752-9/97671938_2652902514813734_2098650299341209600_n.jpg?_nc_cat=108&_nc_sid=b96e70&_nc_oc=AQkxSPNmt0E1CmizKhijuuZKhBYantqFGy5KcSp3PRNyepb3z6k2KWK5J2BTFfRdzW7HfdtouiJ8DV_4DgEikPSo&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=7222d3968743418083b3f8f82b9763e2&oe=5EEAFA64
bên bạn còn xe này k a
sáng mai mình qua xem dc k","Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",13.0
