k,silhouette_score,inertia
2,0.35625743349807787,4988502.533910152
3,0.41868496534378075,2899004.6248582555
4,0.4340653712689305,2041848.3885672744
5,0.44209401332528514,1554349.4119683434
6,0.45305720764688406,1200222.306205786
7,0.476479675893369,925985.965828811
8,0.47677076437901394,756105.4350671284
9,0.47066424845297083,625266.270550552
10,0.4759154781315373,515530.92168448475
11,0.4778692820503235,444732.4221155104
12,0.47640748192181676,382732.50561349635
13,0.4700812501614175,346331.3517923134
14,0.4744839457346045,311984.14663687407
15,0.46214482149904823,289010.56875247683
16,0.47568308301038953,258333.60913866214
17,0.46076720296628565,239831.43568181328
18,0.4479768241079451,222504.78320511698
19,0.4509876048702648,203697.79931997118
