sentence,kmeans_cluster,x,y
sl hàng,0,-3.702494,5.688276
liên hệ,0,-15.927685,21.01857
giao shipper đi,1,-35.016975,-16.008703
hàng đi,3,19.514647,65.230782
hàng đi,3,19.514593,65.231323
ship cod nha,4,-56.014259,16.36079
uh chiều đi sinh nhật,8,2.9568,-39.924763
giúp đơn đi,9,-18.872801,55.3335
xong,0,-1.952418,33.836391
hàng ấ,0,-7.628156,11.302695
6-7h tối ship,1,-26.334326,-3.798404
ship tầm 6-7h tối,0,-23.845545,-2.312969
phòng bảo hành,1,-45.971619,-5.350057
mấy công gửi,1,-58.701431,-13.35707
nhân viên uống bảo mùi,6,43.218197,-48.964176
gửi vưè bảo hành,4,-59.523369,24.667606
v1 shop ship shopee,9,-18.232401,56.0611
hôm đăng 999,8,4.616916,-52.084919
gọi đấy,1,-23.548868,-16.391266
cố gắng ship giúp,9,-41.917805,35.686802
đi quanh bảo đọc giao 1,0,-10.537565,10.438354
bảo gọi,9,-12.877373,54.577282
giao gọi,9,-36.833817,39.160728
gửi fêback gấu bí,6,16.626083,-57.233467
ship tết kịp,0,-10.302202,12.203268
hi tắt đi xong khoản hộ i,2,21.223877,-16.286512
ship hộ ạ7 ngo 369 trường chinh 0912489049 khoản xong ship hộ,5,29.970682,3.496171
mai giao trg gấp,2,21.142033,-19.673674
giao hôm,9,-28.131847,59.55254
sợ shopee ship kịp tết,1,-42.772362,-17.495289
tối giao đi,4,-61.14315,21.255596
giao đồ phát nhạc,5,31.759836,9.165307
check giúp,1,-41.229267,-24.314129
hàng cam,1,-30.179977,-11.350197
đăng giúp nha shop,4,-47.899174,28.23428
giao bé,1,-48.317898,-20.517633
ship hành,3,34.342556,59.403477
hàng sẵn,1,-29.072859,-41.422024
giao hàng quên,4,-48.188965,33.767166
cửa hàng tiki shop,4,-47.991882,31.906443
ok thanks p,6,28.162735,-53.793671
hôm tiệm 19h tối,6,22.895828,-61.491409
ok gọi,0,-13.07784,-9.288058
bưu tá đi phát hôm,8,-2.533061,-38.999081
check vận đơn liên hệ ngừoi,2,28.557707,0.775611
shop cửa hôm,4,-67.287766,-4.826547
đặt đc,8,4.47709,-24.90991
gửi ảnh giúp,9,-35.811646,44.185394
mua 2 nồi cơm điện nina mua shopee,0,4.494104,19.349155
lỗi,1,-31.418125,-24.042259
hộp hôm khui bận,6,37.639099,-50.48175
hôm đặt ship 2,3,-2.989836,60.637798
link facebook,2,27.806978,-12.654279
xe đẩy shop lỗi shop xe đẩy b-beko bảo hành giấy bảo hành hãng 2018 nhắc bảo hành,0,-19.597231,1.28632
chế độ bảo hành,0,-19.569775,10.573242
grab,7,56.105213,-34.190693
grab,7,56.10574,-34.190765
hàng ơip,0,-5.420267,6.216259
kho hàng toán thẻ shop,1,-28.596558,-16.926519
tối mấy,2,11.249668,-18.719307
thử,6,33.880234,-61.033379
xong thoát hình chụp đấy,8,3.226971,-51.641361
tầm 5h chiều,2,13.999305,-16.53256
shop gửi ship đổi khay,9,-14.202946,56.722458
gửi giúp 2 khay,4,-63.667099,3.520941
thông,7,60.733791,-25.717314
