k,silhouette_score,inertia
2,0.4115909498770947,4890705.654718449
3,0.4378121201787056,2995002.730831094
4,0.44112747367378025,2217473.8619981064
5,0.42742204756008745,1780718.4137004036
6,0.43721710209451137,1407181.0282382583
7,0.44931287621044574,1168054.3227617524
8,0.43951725614250814,972209.8190963208
9,0.451649773148351,817031.1661304801
10,0.4690616377096634,668804.0496520428
11,0.46226163492973005,580302.2530669998
12,0.45539821404032244,512672.2566579928
13,0.4619728479631726,453457.78340222075
14,0.464116078996874,406624.1023216192
15,0.45756423735961305,364204.11965479964
16,0.4508256046107744,332517.77952112455
17,0.4491365691165276,303877.849065284
18,0.44616930518017467,277972.98699696525
19,0.44737479840430516,257688.0418103492
