feature,target
shop ơi,other
tớ thấy trên bìa có ghi bán luôn đấy,other
alo,other
"em 1 thảm 1,5x2m",other
vậy bạn ship cho mình 1 thảm với 1 thảm sữa nhé,other
chào bạn,other
user,other
chào shop,other
tớ chuyển khoản rồi bạn ơi,other
con không shop,other
user,other
mái che đó lấy ra đkc,other
chị ơi,other
bạn ơi cho mình hỏi chút,other
user,other
hi chị,other
mình vừa chat với bạn qua shopee về máy nutrition của babymoov,other
hi shop,other
user,other
user,other
hi shop,other
alo shop,other
bạn ơi máy bảo hành như thế nào vậy,other
em ở,other
user,other
cái hình ne,other
user,other
shop cho mình hỏi,other
chào shop,other
bnoi,other
tầm 3-4 triệu đổ về ạ,other
chị ơi,other
bạn ơi ship cho tớ cái máy tiệt trùng nhé không lấy quà,other
em ơi,other
alo shop,other
user,other
shop ơi,other
hi shop,other
user,other
tí mình đặt,other
chị ơi,other
bạn ơi cho mình hỏi mẫu này dùng được đến mấy tháng nhỉ,other
bạn ơi tớ lấy thảm này màu hồng,other
shio cho mình số 77 ngõ 79 cầu giấy nhe,other
user,other
user,other
đây bạn ơi,other
shop ơi,other
user,other
shop mình ở đâu ạ,other
user,other
"mình mua hoá đơn 1,5 triệu thì có được free ship không",other
bạn ơi còn hộp 800g không ship giúp mình,other
shop cho chị hỏi túi fatz đôi giữ ấm sữa được bao lâu vậy em,other
hi shop,other
z là còn mẫu mình gửi hả bạn,other
user,other
user,other
chào shop ạ,other
bạn ơi,other
chào shop,other
bạn cho mình lấy vài thứ vậy,other
shop ơi,other
em ơi,other
shop ơi cho mình cái này,other
user,other
mình chuyển khoản rồi shop nhé,other
"1,8mx2m",other
shop có cái này koa ạ,other
shop ơi,other
free ship,other
đây ạ,other
mình chuyển khoản rồi nha bạn,other
alo shop,other
mình có đặt hàng với nice facebook brad dinh ghê rung bạn nha bạn lấy hàng nguyên đai nguyên kiện giúp mình nha hi,other
bạn ơi,other
hi shop,other
user,other
user,other
shop ơi mình tra mã vận đơn bạn gửi cho mình mà mãi đến giờ vẫn như thế nào và chưa ai gửi đồ cho mình shop ạ,other
"ship cho mình loại 1.8*2m dầy 1,5cm",other
em lấy 1 thảm mình ruoi 2m nhé,other
user,other
bạn ơi mình lấy 1 máy này nhé,other
user,other
nên đen cũng được bạn à,other
bạn ơi,other
bạn ơi tí mình qua lấy xe này được không,other
chị cho em cái màu xanh lam,other
giờ mua thêm máy này đx giảm không bạn,other
shop ơi,other
user,other
máy tạo ẩm khuếch tán tinh dầu babymoov bm14418 pháp,other
alo chị ơi,other
nhiều shop ơi,other
cái loại đồ của mỹ dung không ạ,other
user,other
chị ơi cho em hỏi,other
user,other
user,other
mình gửi nhé,other
quây này bên em còn hàng kg,other
mai ship mình 1 bộ này đến 249 hoàng quốc việt nhé,other
user,other
shop ơi,other
oh,other
311/8 kp 5b tân biên biên hoà đồng nai 0906796079 trần thị ngọc lan,other
user,other
user,other
cho em od 1 cái nha,other
em đã chuyển khoản nhé,other
em chuyển khoản rồi shop check giúp em với nhé,other
chị ơi em mua hàng của mình trên tiki sao nôi em rap không đưa chị,other
user,other
shop,other
bạn ơi,other
cho mình 1 thảm này nhé,other
user,other
"shop ship cho mình trong chiều này về địa chỉ : số 80, ngõ 42, phố thành công ba mình hà nội sđt: 0913.110.880",other
user,other
shop ơi,other
cho mình hỏi,other
shop ơi cho mình lấy 1 máy ạ,other
số tài khoản bạn,other
chó bông này không vậy shop,other
hôm trv em mua cái treo cũi bên mình,other
user,other
bên bạn còn mẫu thanh chắn giường như thế nào,other
cho mình hỏi tủ này cho bé à,other
user,other
user,other
vâng,other
user,other
hihi cho mình địa chỉ shop,other
user,other
alo,other
user,other
ok,other
user,other
mình lấy,other
em ơi,other
user,other
size 1m8x2m,other
shop ơi,other
user,other
user,other
user,other
shop ơi,other
dạ cho em lấy màu xanh nha,other
bạn ơi,other
màu xanh em nhé,other
em ơi hôm qua chị nhận được đồ rồi đẹp em nhé,other
shop ơi,other
user,other
user,other
user,other
bảo hành ship cho mình bộ này được không shop ơi,other
user,other
shop oiw,other
thanh chắn cầu thang giao cho mình chưa vậy shop,other
hi bạn,other
