k,silhouette_score,inertia
2,0.38974769511482904,4134651.474734764
3,0.4276327435394525,2558798.4784704093
4,0.4413803934996645,1765210.8878263365
5,0.45858436063782887,1403026.0721951982
6,0.47034940386437935,1149949.131435125
7,0.4521026469854642,949732.6321448967
8,0.46776095022311304,784105.6913632122
9,0.48602775495952344,657835.227050333
10,0.4861464203762367,541456.7493380416
11,0.4852750412219151,479952.7699547128
12,0.4785205507528871,424786.238994207
13,0.4890058242743436,379883.23977676925
14,0.4971736253386522,331300.7922200016
15,0.49282410982115843,296548.05048413854
16,0.509763953290068,260773.8947525623
17,0.5055116383744661,228040.43721585113
18,0.5034272058837251,209520.7983942012
19,0.49979422251235056,191386.42742184683
