k,silhouette_score,inertia
2,0.46807419924551824,2515859.587829314
3,0.5620968770389588,1446397.301059225
4,0.6140363712566727,951796.6739231212
5,0.6953543801658327,569565.2039793952
6,0.7124320545350145,424977.4546002452
7,0.7238533612750657,339772.32022363244
8,0.7566157981430252,257166.5008952021
9,0.7702835563331397,206488.55767521774
10,0.7873215610168857,166910.16357588925
11,0.7940724029659898,129680.14588829926
12,0.8060634511753176,105541.64567433475
13,0.8226257471915751,80865.47940913725
14,0.8324806372264703,62796.32276993605
15,0.8396272165613387,52215.28684780157
16,0.7946362141301963,44454.931103641145
17,0.8539565735996536,36581.649558664474
18,0.8089334150144941,28821.086166499914
19,0.8555532030332211,25139.879332422755
