k,silhouette_score,inertia
2,0.3752497672421079,3902970.0382196875
3,0.4247466503704539,2351800.1696469365
4,0.4330473962985518,1716671.7829326002
5,0.4263700266756793,1342663.5571047463
6,0.4228313862266153,1107214.5507406765
7,0.4350841416631026,910620.9798483462
8,0.4692728036074463,764732.8266703011
9,0.4739206600359307,643648.7141196798
10,0.4981192955639476,542151.9189754665
11,0.5023371290153369,476673.90417571267
12,0.5091857904075787,418732.39703240956
13,0.509184702836008,359130.116186186
14,0.5342228129259523,308005.4218615974
15,0.5311791366351774,273191.1444180148
16,0.5415331270001363,250218.62434925933
17,0.5328228057011445,224113.847366377
18,0.5390856732320365,203991.79303055897
19,0.5355414962315513,185291.82935071626
