k,silhouette_score,inertia
2,0.40600113874652866,1717312.0229551932
3,0.4665504594839781,1068749.2918331372
4,0.5088938308874384,675553.6374946249
5,0.5385813801885398,503836.32681667514
6,0.5578866302817919,385228.88265962864
7,0.5963148055814117,306944.27300081955
8,0.6244216800076045,250497.51047683836
9,0.6025247993232931,198357.12508722057
10,0.6286558521519887,154931.69137827746
11,0.6318666717044483,138759.9054163425
12,0.6637770922174849,105271.15507060359
13,0.6797683773921659,88434.64058009401
14,0.6677253563035147,74006.46651042213
15,0.6821797709502716,60321.706161995055
16,0.6884155545097429,50230.7930297782
17,0.6982130037456761,40614.83890728299
18,0.7099055202858202,33027.54434654483
19,0.706061752347283,30564.43993526502
