,conversation_id,uc5,outcome,uc4,sender_id,user_message,bot_message,created_time
0,3,,silence,,2584625094931834,Get Started,"Chào Thùy Dương, mình là trợ lý ảo của Shop Gấu & Bí Ngô!
Để hỗ trợ bạn nhanh nhất có thể, vui lòng mô tả ngắn gọn và rõ ràng sản phẩm muốn tìm kiếm nhé!",2020-06-02T05:51:58+0000
1,3,uc_s5.2,silence,,2584625094931834,shop cho e hỏi gia xe vovo gấp gọn 1 chiều nha,Sản phẩm bạn đang tìm có phải là?,2020-06-02T05:52:13+0000
2,3,,silence,,2584625094931834,Xe Đẩy,"Sản phẩm  Xe Đẩy hãng sản xuất Vovo  có giá bán thấp nhất từ: *2,200,000 VND*, bạn vui lòng bấm vào sản phẩm để xem giá bán và thông tin chi tiết!",2020-06-02T05:52:36+0000
3,3,,other,,1454523434857990,,,
4,9,,other,,1734523043236410,Get Started,,2020-06-02T07:35:26+0000
5,9,,thank,,1734523043236410,E ơi,"Chào Thu Thủy, mình là trợ lý ảo của Shop Gấu & Bí Ngô!
Để hỗ trợ bạn nhanh nhất có thể, vui lòng mô tả ngắn gọn và rõ ràng sản phẩm muốn tìm kiếm nhé!",2020-06-02T07:35:28+0000
6,9,,other,,1454523434857990,,"Chào bạn, mình là trợ lý ảo của Shop Gấu & Bí Ngô, mình giúp gì được bạn ạ?",
7,9,uc_s5.2,other,,1734523043236410,Tư vấn c xe đẩy cho bé giá dưới 1tr với,"Sản phẩm  Xe Đẩy giá 1tr  có giá bán thấp nhất từ: *850,000 VND*, bạn vui lòng bấm vào sản phẩm để xem giá bán và thông tin chi tiết!",2020-06-02T07:35:45+0000
8,9,,silence,,1454523434857990,,Hiện tại sản phẩm Xe Đẩy giá 1tr  shop đang có những *hãng sản xuất* sau ạ:,
9,9,,,,1734523043236410,Joovy,"Sản phẩm  Xe đẩy đảo chiều gấp gọn Joovy Qatta S113 hãng sản xuất Joovy, giá 1tr  có giá bán thấp nhất từ: *1,040,000 VND*, bạn vui lòng bấm vào sản phẩm để xem giá bán và thông tin chi tiết!",2020-06-02T07:36:10+0000
10,9,,,,1454523434857990,,,
11,9,,,,1734523043236410,Xe nằm cho bé sơ sinh ấy shop,,2020-06-02T07:37:01+0000
