k,silhouette_score,inertia
2,0.38064926997427007,2238887.5244569816
3,0.4405970209543299,1326124.4452890723
4,0.4142438075189832,1010972.9048881689
5,0.4264460143349285,839764.3751295094
6,0.4515152472084659,673571.0479250248
7,0.42785065908985004,580852.3271606679
8,0.4706683578723287,468367.40051926125
9,0.5056184550539411,397337.99758494645
10,0.5294731758632661,318578.0582537167
11,0.5492136796332605,262057.38928240858
12,0.5601218195636004,220697.570664701
13,0.5730931230482382,184629.40135701874
14,0.5696486972542505,159258.22229808767
15,0.5990734589434257,128466.86382377107
16,0.5970889413483729,113902.74296465129
17,0.5968940631238276,99775.01021264003
18,0.6037738171423097,87448.0608955703
19,0.617527409849325,75724.07207837925
